,ServicingLenderName,Symbol
266,Hawaii National Bank,0
267,Century Bank,0
268,Highland Bank,HBSI
269,First United Bank & Trust,0
270,Technology CU,MTF-F48.TA
271,Pacific Valley Bank,0
272,"PeoplesBank, A Codorus Valley Company",0
273,Mountain Commerce Bank,0
274,Citizens First Bank,0
275,Flagstar Bank National Association,0
276,IncredibleBank,0
277,Gorham Savings Bank,0
278,Bank of New Hampshire,0
279,Security Bank,JFWV
280,Deerwood Bank,0
281,South Atlantic Bank,0
282,Northfield Savings Bank,0
283,Rhinebeck Bank,0
284,HomeTrust Bank,0
285,The Freedom Bank of Virginia,0
286,MBE Capital Partners,0
287,Spring Bank,0
288,Great Plains National Bank,0
289,Lendistry-Federal Reserve Contract,0
290,Cass Commercial Bank,0
291,Open Bank,0
292,First Oklahoma Bank,0
293,"Beverly Bank & Trust Company, National Association",ZION
294,Itasca Bank & Trust Co.,0
295,OnPoint Community CU,0
296,Bank of the Pacific,0
297,BankFirst Financial Services,0
298,Capitol National Bank,0
299,Montgomery Bank,0
300,Emprise Bank,0
301,National Bank of Commerce,0
302,Armstrong Bank,0
303,Old Dominion National Bank,0
304,State Bank of Southern Utah,0
305,Citizens and Farmers Bank,0
306,One Community Bank,0
307,Anderson Brothers Bank,0
308,The Old Fort Banking Company,0
309,1st State Bank,0
310,Citizens Bank,FC6A.SG
311,Summit State Bank,SSBI
312,Savings Bank of Danbury,0
313,ACNB Bank,0
314,The First National Bank in Sioux Falls,0
315,Amboy Bank,0
316,Bank Iowa,0
317,Peoples Bank of Alabama,0
318,Quad City Bank and Trust Company,0
319,Magnifi Financial CU,0
320,Cornerstone Community Bank,0
321,Moody National Bank,0
322,First Guaranty Bank,0
323,"The Commercial and Savings Bank of Millersburg, Ohio",PKOH
324,The First National Bank of Fort Smith,0
325,The Croghan Colonial Bank,0
326,Cornerstone Bank,0
327,Navigant CU,0
328,American AgCredit ACA,0
329,Bank of Tennessee,0
330,One Florida Bank,0
331,"Commercial Bank of Texas, N.A.",ZION
332,OakStar Bank,0
333,Hawthorn Bank,0
334,1st Security Bank of Washington,0
335,Forbright Bank,0
336,Coastal States Bank,0
337,"Investar Bank, National Association",ZION
338,First Utah Bank,0
339,Republic Bank of Chicago,0
340,The Bank of Commerce,0
341,"North Shore Bank, a Co-operative Bank",0
342,Golden Valley Bank,0
343,"Community West Bank, National Association",ZION
344,The Citizens National Bank of Meridian,0
345,"Pioneer Trust Bank, National Association",ZION
346,Prime Meridian Bank,0
347,GBC International Bank,0
348,Bravera Bank,0
349,Wilson Bank & Trust,0
350,Vibrant Credit Union,0
351,West Michigan Community Bank,0
352,First Federal Savings Bank,0
353,"CFBank, National Association",ZION
354,Guaranty Bank,LUMB
355,Bank of Central Florida,0
356,Commonwealth Business Bank,0
357,Blackhawk Bank,0
358,NewFirst National Bank,0
359,South Louisiana Bank,0
360,Bank of the West,AAAWNXX
361,Citizens State Bank,0
362,HarborOne Bank,0
363,Western Commerce Bank,0
364,Triad Bank,0
365,LINKBANK,0
366,Oakworth Capital Bank,0
367,Penn Community Bank,0
368,Bank Five Nine,0
369,Goldenwest FCU,0
370,Citizens National Bank,0
371,Texas Bank,0
372,St. Louis Bank,0
373,Wheatland Bank,0
374,"TBK Bank, SSB",SSB
375,Bank of Idaho,BOID
376,Adirondack Bank,0
377,Global Federal Credit Union,0
378,Home Federal Bank of Tennessee,0
379,Ally Bank,0
380,Solvay Bank,SOBS
381,Lincoln Savings Bank,0
382,The Cooperative Bank of Cape Cod,0
383,Legacy Bank,0
384,The Ephrata National Bank,0
385,QNB Bank,0
386,R Bank,FRCB
387,Great Southern Bank,0
388,Merrimack County Savings Bank,0
389,Texas Champion Bank,0
390,American State Bank,0
391,Pioneer Bank,PNBI
392,"Dallas Capital Bank, National Association",ZION
393,Riverview Bank,0
394,Quaint Oak Bank,0
395,First Palmetto Bank,0
396,Platinum Bank,0
397,Synergy Bank,0
398,Harmony Bank,0
399,"Heritage Bank, Inc.",TSLA
400,Bank of Clarke,0
401,The First National Bank of South Miami,0
402,BAC Community Bank,0
403,21st Century Bank,0
404,"Fidelity Bank, National Association",ZION
405,"Compeer Financial, ACA",ACA
406,Consumers National Bank,0
407,Fidelity Bank & Trust,0
408,Pacific West Bank,0
409,New Valley Bank & Trust,0
410,The Yellowstone Bank,0
411,Mountain Pacific Bank,0
412,Southern Michigan Bank & Trust,0
413,Uwharrie Bank,0
414,Guaranty Bank & Trust Company,0
415,Sound Community Bank,0
416,Cashmere Valley Bank,CSHX
417,Notre Dame FCU,0
418,Bank of Guam,0
419,"Transportation Alliance Bank, Inc. d/b/a TAB Bank",0
420,First Farmers and Merchants Bank,0
421,"Keystone Bank, National Association",ZION
422,American Bank,AMBK
423,Pathfinder Bank,0
424,Chelsea Groton Bank,0
425,First National Bank and Trust Company of Weatherford d/b/a First Bank Texas,0
426,Lone Star State Bank of West Texas,0
427,Maine Community Bank,0
428,Rayne State Bank & Trust Company,0
429,"CNB Bank and Trust, National Association",ZION
430,First National Bank of Central Texas,0
431,Kennebunk Savings Bank,0
432,Gulf Capital Bank,0
433,Sanibel Captiva Community Bank,0
434,Triad Business Bank,TBBC
435,JD Bank,0
436,The State Bank and Trust Company,0
437,Planters Bank & Trust Company,0
438,Mascoma Bank,0
439,Bank of Eastern Oregon,0
440,Empire State Bank,0
441,ESSA Bank & Trust,0
442,Kinecta FCU,0
443,Midflorida CU,0
444,Harford Bank,HFBK
445,Community National Bank & Trust,0
446,BOM Bank,0
447,"Citizens National Bank, National Association",ZION
448,North Dallas Bank & Trust Company,0
449,Morris Bank,0
450,Preferred Bank,PFBC
451,Chesapeake Bank,0
452,FineMark National Bank & Trust,0
453,Redwood Capital Bank,0
454,First Secure Bank and Trust Co.,0
455,Farmers and Merchants Trust Company of Chambersburg,0
456,Bank of Washington,0
457,Horicon Bank,0
458,Self-Help FCU,0
459,Eastern Michigan Bank,0
460,International Bank of Chicago,0
461,First Western Bank & Trust,0
462,Salisbury Bank & Trust Company,0
463,The Farmers & Merchants State Bank,0
464,The Northern Trust Company,0
465,Emigrant Bank,0
466,US Metro Bank,0
467,Wright Patt CU Inc,0
468,Numerica CU,0
469,Security Federal Bank,0
470,Embassy Bank for the Lehigh Valley,0
471,Regent Bank,0
472,Belmont Bank & Trust Company,0
473,Bank of the James,BOTJ
474,Main Street Bank,0
475,Alliance Bank,2488.KL
476,Flagship Bank,0
477,Tri City National Bank,0
478,Watertown Savings Bank,0
479,Two Rivers Bank & Trust,0
480,The Conway National Bank,0
481,Commercial Bank and Trust Company,0
482,One Bank of Tennessee,0
483,Availa Bank,0
484,The Victory Bank,0
485,Kish Bank,0
486,Northwest FCU,0
487,Androscoggin Savings Bank,0
488,Lewis & Clark Bank,0
489,AmeriServ Financial Bank,0
490,Paragon Bank,PAG.L
491,Greenfield Savings Bank,0
492,Community National Bank & Trust of Texas,0
493,PeoplesBank,0
494,SouthPoint Bank,0
495,Continental Bank,0
496,Westbury Bank,0
497,First National Bank of Louisiana,0
498,"Schaumburg Bank & Trust Company, National Association",ZION
499,"INB, National Association",BUD
500,The Bank of Elk River,0
501,American Bank & Trust,0
502,Peoples Bank and Trust Company,0
503,The Richwood Banking Company,0
504,First State Bank of the Florida Keys,0
505,BankSouth,0
506,Katahdin Trust Co.,0
507,Northway Bank,0
508,United Bank of Iowa,0
509,CNB St. Louis Bank,0
510,Webster Five Cents Savings Bank,0
511,Sterling State Bank,0
512,Broadview Federal Credit Union,0
513,Windsor Federal Savings & Loan Association,0
514,"Connecticut Community Bank, National Association",ZION
515,Bank of Houston,0
516,Starion Bank,0
517,Security Bank of Kansas City,0
518,Seattle Bank,0
519,Toyota Financial Savings Bank,0
520,North American Banking Company,0
521,Access Bank,0
522,The First State Bank,0
523,Marine Bank & Trust Company,0
524,Easthampton Savings Bank,0
525,Flagler Bank,0
526,Grand River Bank,0
527,Bar Harbor Bank & Trust,0
528,Mainstreet Community Bank of Florida,0
529,CTBC Bank Corp. (USA).,0
530,Savings Bank of Mendocino County,0
531,Commerce Bank of Arizona,0
532,Core Bank,0
533,Legacy Bank & Trust Company,0
534,Buckeye State Bank,0
535,SaviBank,0
536,"TransPecos Banks, SSB.",SSBP
537,"Texas Gulf Bank, National Association",ZION
538,Plains State Bank,0
539,First National Bank Texas,0
540,First Southwest Bank,0
541,Minster Bank,0
542,Parke Bank,0
543,iTHINK Financial CU,0
544,Commercial Bank,1398.HK
545,"FC Marketplace, LLC (dba Funding Circle)",0
546,Security State Bank & Trust,0
547,Opportunity Bank of Montana,0
548,State Bank,SBIN.NS
549,Central National Bank,0
550,Dedham Institution for Savings,0
551,The Dart Bank,0
552,Farmers & Merchants Bank,FMBL
553,Progressive Bank,0
554,Citizens Bank of Las Cruces,0
555,The Citizens Bank,0
556,Falcon National Bank,0
557,Metro City Bank,0
558,Blue Sky Bank,0
559,"BankWest, Inc",INC
560,The Bennington State Bank,0
561,Fall River Five Cents Savings Bank d/b/a BankFive,0
562,First Commerce Bank,0
563,The Cecilian Bank,0
564,Merchants Bank of Indiana,0
565,Four Corners Community Bank,0
566,City National Bank of West Virginia,0
567,Countybank,0
568,Union Bank,AUB
569,"Home State Bank, National Association",ZION
570,Community State Bank,0
571,Magyar Bank,0
572,Sutton Bank,0
573,"Farm Credit Services of America, ACA",ACA
574,Suncoast CU,0
575,First Citizens Bank,FC6A.SG
576,Builtwell Bank,0
577,First Texas Bank,0
578,Bank of Travelers Rest,0
579,Citizens State Bank of New Castle,0
580,Thomasville National Bank,0
581,"Chain Bridge Bank, National Association",ZION
582,First Resource Bank,0
583,"Amur Equipment Finance, Inc.",TSLA
584,Community Bank,CBU
585,California CU,0
586,Community Bank of Santa Maria,0
587,"SouthTrust Bank, National Association",ZION
588,MidCountry Bank,0
589,Southwestern National Bank,0
590,Middletown Valley Bank,0
591,1st Summit Bank,0
592,Capital Bank,0P00013C2A.F
593,The Lowell Five Cent Savings Bank,0
594,First Federal Savings Bank of Twin Falls,0
595,"Summit Community Bank, Inc.",TSLA
596,Hometown Bank,0
597,"Crystal Lake Bank & Trust Company, National Association",ZION
598,CoreFirst Bank & Trust,0
599,Jonah Bank of Wyoming,0
600,Carolina Bank & Trust Co.,0
601,Wayne Bank,0
602,The Paducah Bank and Trust Company,0
603,"Chino Commercial Bank, N.A.",ZION
604,Solera National Bank,0
605,Bank of Bartlett,0
606,Bank 7,0P0001BMW9.F
607,CorTrust Bank National Association,0
608,"Kleberg Bank, National Association",ZION
609,"Dakota Community Bank & Trust, National Association",ZION
610,Axos Bank,0
611,The National Bank of Blacksburg,0
612,Pinnacle Bank-Wyoming,0
613,Fidelity Co-Operative Bank,0
614,Sturdy Savings Bank,0
615,Oak Bank,0
616,First National Bank of Gillette,0
617,Woodlands National Bank,0
618,Metairie Bank & Trust Company,0
619,SpiritBank,0
620,Banesco USA,0
621,Desert Financial CU,0
622,Northstar Bank,0
623,The Nodaway Valley Bank,0
624,Affinity FCU,0
625,Midwest Regional Bank,0
626,Bank of Oak Ridge,0
627,First State Bank of Middlebury,0
628,Dubuque Bank and Trust Company,0
629,"Vast Bank, National Association",ZION
630,First American Bank & Trust,0
631,"Farm Credit West, PCA",4M0.F
632,First Financial Northwest Bank,0
633,The Merchants National Bank,0
634,"Whitaker Bank, Inc",INC
635,Rosedale Federal Savings & Loan Association,0
636,Frontier Bank,0
637,1st Colonial Community Bank,0
638,"Trinity Bank, National Association",TYBT
639,"Fundbox, Inc.",TSLA
640,First American Bank & Trust Company,0
641,Security Bank and Trust Company,0
642,"Stride Bank, National Association",ZION
643,Granite Bank,0
644,Pioneer Bank & Trust,0
645,Greater Community Bank,0
646,MountainOne Bank,0
647,Community First Bank of Indiana,0
648,"Golden Bank, National Association",ZION
649,Forward Bank,0
650,"Grow America Fund, Incorporated",QCOM
651,Consumers CU,0
652,The Genoa Banking Company,0
653,The First National Bank and Trust Company,0
654,Security Financial Bank,0
655,Superior National Bank,0
656,Meredith Village Savings Bank,0
657,Nusenda FCU,0
658,The Citizens State Bank,0
659,Dime Bank,0
660,Main Bank,HSMBI.HK
661,GBank,GBFH
662,NBC Oklahoma,0
663,BankCherokee,0
664,Enterprise Bank,0
665,Lindell Bank & Trust Company,0
666,Navy FCU,0
667,Wood & Huston Bank,0
668,Volunteer State Bank,0
669,Royal Banks of Missouri,0
670,Martha's Vineyard Bank,0
671,Ixonia Bank,0
672,Cross Keys Bank,0
673,"Academy Bank, National Association",ZION
674,River Valley Community Bank,0
675,United Southern Bank,0
676,Skyline National Bank,0
677,"Fund-Ex Solutions Group, LLC",BTM
678,Oconee State Bank,0
679,VisionBank,0
680,Cornhusker Bank,0
681,F&M Bank,FMBL
682,"Hometown Bank, National Association",ZION
683,"Forcht Bank, National Association",ZION
684,First-Citizens National Bank,0
685,Newburyport Five Cents Savings Bank,0
686,BankIowa,0
687,First Secure Community Bank,0
688,Georgia Primary Bank,0
689,First Midwest Bank of the Ozarks,0
690,The Bank of Canton,0
691,Community Choice CU,0
692,The Honesdale National Bank,0
693,Blue Foundry Bank,0
694,Alma Bank,0
695,Arkansas Capital Corporation,0
696,First General Bank,0
697,"Planters Bank, Inc.",TSLA
698,United FCU,0
699,Texas Community Bank,0
700,LCNB National Bank,0
701,Midwest Bank,0
702,Bank Forward,0
703,FirstBank Southwest,0
704,West Texas National Bank,0
705,Centreville Bank,0
706,First Southern State Bank,0
707,"Modern Bank, National Association",ZION
708,Kennebec Savings Bank,0
709,KS StateBank,0
710,Traditions Bank,0
711,BayVanguard Bank,0
712,"Resource Bank, National Association",ZION
713,Parkway Bank and Trust Company,0
714,Lea County State Bank,0
715,"Extraco Banks, National Association",ZION
716,First National Bank of Oklahoma,0
717,Platte Valley Bank,0
718,Hilltop National Bank,0
719,Select Bank,FSRBX
720,The Citizens Bank of Philadelphia,0
721,United Bank of Michigan,0
722,"First National Bank Ames, Iowa",SNLC
723,First Freedom Bank,0
724,BNC National Bank,0
725,Baker Boyer National Bank,0
726,The Village Bank,0
727,Troy Bank & Trust Company,0
728,Home Federal Bank,0
729,Bath Savings Institution,0
730,First Bank Elk River,0
731,First Fed Bank,0
732,Mechanics Cooperative Bank,0
733,Bank of Pontiac,0
734,Parkside Financial Bank & Trust,0
735,"The Farmers Bank, Frankfort, Indiana",FBPA
736,NobleBank & Trust,0
737,West Shore Bank,WSSH
738,Northwest Community Bank,0
739,Utah First FCU,0
740,St. Mary's Bank,0
741,Northwest Bank of Rockford,0
742,American Heritage Bank,0
743,One World Bank,0
744,Thumb Bank & Trust,0
745,Chelsea State Bank,0
746,"GNBank, National Association",ZION
747,Paradise Bank,0
748,First Pacific Bank,0
749,"Axiom Bank, National Association",ZION
750,AG CREDIT ACA,0
751,North Easton Savings Bank,0
752,"SouthStar Bank, S.S.B.",0
753,First Federal Bank of Louisiana,0
754,"MVB Bank, Inc.",TSLA
755,"Tioga State Bank, National Association",ZION
756,Crown Bank,0
757,First Southern National Bank,0
758,Community Bank of Louisiana,0
759,Farmers Bank & Trust,0
760,FinWise Bank,0
761,First Bank Richmond,0
762,Clear Fork Bank National Association,0
763,State Bank Northwest,0
764,Neighborhood National Bank,0
765,Michigan State University FCU,0
766,Gate City Bank,0
767,Mission Valley Bank,0
768,Franklin Bank & Trust Company,0
769,Coastal Heritage Bank,0
770,Capital Community Bank,0
771,Valliance Bank,0
772,American State Bank & Trust Company of Williston,0
773,Citizens Trust Bank,0
774,Community First CU,0
775,BankProv,0
776,Citizens Alliance Bank,0
777,The First National Bank of Hutchinson,0
778,First Commercial Bank,0
779,Hebron Savings Bank,0
780,American National Bank & Trust,0
781,Bank of Wisconsin Dells,0
782,"Community Bank & Trust, Waco, Texas",6727.T
783,Blue Ridge Bank and Trust Co.,0
784,"First Federal Community Bank, National Association",ZION
785,Points West Community Bank,0
786,Trenton Business Assistance Corporation,0
787,First Community CU,0
788,International Finance Bank,0
789,Pathward National Association,0
790,DreamSpring,0
791,Liberty SBF Holdings LLC,0
792,Capitol Federal Savings Bank,0
793,Southern States Bank,0
794,Marquette Savings Bank,0
795,Digital FCU,0
796,Community Valley Bank,0
797,Greylock FCU,0
798,CFG Community Bank,0
799,First Metro Bank,0
800,Relyance Bank,0
801,Settlers Bank,0
802,United Prairie Bank,0
803,The Pueblo Bank and Trust Company,0
804,Citizens Tri-County Bank,0
805,Trustco Bank,TRST
806,Grand Bank,G50.SI
807,First National Bank of Scotia,0
808,Firstar Bank,0
809,Cumberland Valley National Bank & Trust Company,0
810,MutualOne Bank,0
811,Pointbank,0
812,"First Bank, Upper Michigan",IDFCFIRSTB.NS
813,Insbank,0
814,Carver Federal Savings Bank,0
815,Flagship Bank Minnesota,0
816,The National Bank of Coxsackie,0
817,Frankenmuth CU,0
818,High Plains Bank,0
819,Achieva CU,0
820,Bank3,0
821,Bank of Belleville,0
822,"State Bank of the Lakes, National Association",ZION
823,Adams Bank & Trust,0
824,Royal CU,ROYALCU.BO
825,The Guilford Savings Bank,0
826,North Shore Bank,0
827,Clear Lake Bank & Trust Company,0
828,Saratoga National Bank and Trust Company,0
829,Vermillion State Bank,0
830,Central Bank Illinois,0
831,Honor Bank,0
832,Truxton Trust Company,0
833,Pathways Financial CU,0
834,First National Bank and Trust Company of Ardmore,0
835,First Bank of Owasso,0
836,Mt. McKinley Bank,0
837,Citizens Bank & Trust,0
838,Liberty Capital Bank,0
839,"Titan Bank, National Association",ZION
840,"The First National Bank and Trust Co, Chickasha, Oklahoma",FODGX
841,Wilson & Muir Bank & Trust Company,0
842,The Western State Bank,0
843,The Port Washington State Bank,0
844,"The Security National Bank of Sioux City, Iowa",SNLC
845,Avidbank,AVBH
846,First Savings Bank,0
847,Bluestone Bank,0
848,Bank Midwest,0
849,Home Federal Savings Bank,0
850,"Farm Credit Illinois, ACA",ACA
851,The National Capital Bank of Washington,0
852,Liberty National Bank,0
853,Whatcom Educational CU,0
854,Denali State Bank,0
855,America's Christian CU,0
856,City State Bank,0
857,Lamar National Bank,0
858,The First National Bank and Trust Company of Newtown,0
859,Plains Commerce Bank,0
860,Blackhawk Bank & Trust,0
861,PCSB Bank,0
862,Premier Bank Minnesota,0
863,Rio Bank,0
864,GreenState CU,0
865,Citizens Bank & Trust Company,0
866,Highpoint Community Bank,0
867,121 Financial Credit Union,0
868,Hudson Valley CU,0
869,United Bank & Trust,0
870,The Dime Bank,0
871,Citizens Bank of Lafayette,0
872,University FCU,0
873,Greenfield Banking Company,0
874,Arbor Bank,0
875,Beacon Community Bank,0
876,CoastHills CU,0
877,"Legend Bank, National Association",ZION
878,Planters First Bank,0
879,Country Bank for Savings,0
880,The Bancorp Bank National Association,0
881,The Bank of South Carolina,0
882,M C Bank & Trust Co.,0
883,Northern CU,0
884,Yampa Valley Bank,0
885,Palmetto State Bank,0
886,NebraskaLand Bank,0
887,Worthington Bank,0
888,Loyal Trust Bank,0
889,FlatIrons Bank,0
890,Telhio CU Inc,0
891,First State Bank Nebraska,0
892,Century Savings Bank,0
893,State Bank Financial,0
894,"Gateway Bank, FSB",GWBK
895,Benchmark Bank,BMBN
896,Farmers Bank & Trust Company,0
897,Vision Bank,0
898,Southwest Missouri Bank,0
899,Bank of Hays,0
900,Gateway Bank,GWBK
901,First Southern Bank,0
902,Marion County State Bank,0
903,Legends Bank,0
904,The Farmers National Bank of Danville,0
905,Brighton Bank,0
906,Security Bank & Trust Company,0
907,Border Bank,0
908,AuburnBank,0
909,Reading Co-Operative Bank,0
910,First Northern Bank and Trust Company,0
911,Think Mutual Bank,0
912,Colorado Enterprise Fund,0
913,Fortifi Bank,0
914,The Peoples Bank,0
915,American National Bank-Fox Cities,0
916,"Clear Mountain Bank, Inc.",TSLA
917,Mid-Missouri Bank,0
918,First Pryority Bank,0
919,1st Bank Yuma,0
